"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,2776,"Lancaster","PA","Lancaster",113,183700,0.000544662309368192,0.00657534246575343,0.0199888950583009,0.00928986788388353,0.00192551613461878,"2007-09","2007-Q3",189100,-0.0285563194077208,"2006-09"
2016-05-31,1676,"Douglas","NE","Omaha",114,141600,-0.00141043723554302,0.00425531914893617,0.0512249443207127,0.0218415091162045,0.0061341798092367,"2016-04","2016-Q2",141800,-0.00141043723554302,"2016-03"
2016-05-31,322,"Utah","UT","Provo",115,234000,0.00300042863266181,0.0151843817787419,0.093969144460028,0.0531727711666306,0.0173607141174004,"2008-02","2008-Q1",260300,-0.101037264694583,"2007-02"
2016-05-31,197,"Kane","IL","Chicago",116,201700,0.00148957298907646,0.000496031746031746,0.0338288057406458,0.0137363044477041,-0.0200568205649798,"2006-10","2006-Q4",249000,-0.18995983935743,"2003-03"
2016-05-31,3033,"Stanislaus","CA","Modesto",117,245400,0.00286064568859828,0.0140495867768595,0.0926090828138914,0.12152891684067,-0.0377834075324263,"2006-04","2006-Q2",362100,-0.322286661143331,"2004-05"
2016-05-31,911,"Camden","NJ","Philadelphia",118,162100,0.00247371675943105,0.00808457711442786,0.0207808564231738,-0.00317738308849869,-0.0219585729202321,"2007-01","2007-Q1",207500,-0.218795180722892,"2004-11"
2016-05-31,1349,"Ramsey","MN","Minneapolis-St Paul",119,197100,0.00305343511450382,0.00921658986175115,0.0456233421750663,0.0596902068034422,-0.0135455431006868,"2006-05","2006-Q2",225900,-0.127490039840637,"2003-12"
2016-05-31,1964,"Passaic","NJ","New York",120,295100,0.000678195998643608,0.00203735144312394,0.0438627520339583,0.00727223445243896,-0.0283418776805613,"2007-01","2007-Q1",396900,-0.256487780297304,"2004-02"
2016-05-31,1611,"Chester","PA","Philadelphia",121,314300,-0.000318066157760814,-0.00537974683544304,0.00223214285714286,0.0147581892127795,-0.00340343851539127,"2006-08","2006-Q3",326900,-0.0385438972162741,"2005-10"
2016-05-31,2537,"Sedgwick","KS","Wichita",122,123500,0.00324939073923639,0.00816326530612245,0.0404380791912384,0.018470861457476,0.0218435022992112,"2016-05","2016-Q2",123500,0,"2016-05"
2016-05-31,221,"Lake","IN","Chicago",123,122100,0.000819672131147541,0.0057660626029654,0.018348623853211,-0.00195409407801872,-0.00586677288316551,"2008-05","2008-Q2",142600,-0.143758765778401,
2016-05-31,2482,"Plymouth","MA","Boston",124,325700,-0.00245022970903522,-0.00488848151542927,0.0389154704944179,0.0273456173295228,-0.0103195765748023,"2005-12","2005-Q4",367700,-0.11422355180854,"2004-02"
2016-05-31,2063,"Volusia","FL","Daytona Beach",125,152800,0.00658761528326746,0.0186666666666667,0.0898716119828816,0.0744637970349649,-0.039735499207782,"2006-08","2006-Q3",231900,-0.341095299698146,"2004-08"
2016-05-31,1241,"Morris","NJ","New York",126,417500,0.0026416906820365,0.0168046760837798,0.0285784676028579,0.012374591914446,-0.0146713476396128,"2006-07","2006-Q3",484700,-0.138642459253146,"2004-09"
2016-05-31,2312,"Guilford","NC","Greensboro",127,127700,0.000783699059561128,0.00156862745098039,0.0199680511182109,0.0115065931033251,0.00189909110735709,"2016-05","2016-Q2",127700,0,"2016-05"
2016-05-31,146,"Dane","WI","Madison",128,231500,0.000864677907479464,0.00652173913043478,0.053709604005462,0.026118024469503,0.00765617327021162,"2016-05","2016-Q2",231500,0,"2016-05"
