"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,3506,"Bakersfield","CA","Bakersfield","Kern",57,212600,0.00188501413760603,0.00901756051257712,0.0221153846153846,0.0907516132346944,-0.0377867702460659,"2006-05","2006-Q2",312500,-0.31968,"2004-10"
2016-05-31,20313,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",58,170700,0.000586166471277843,0.00293772032902468,0.0332929782082324,0.0627755589062962,-0.0172773140856901,"2006-05","2006-Q2",203200,-0.15994094488189,"2003-06"
2016-05-31,34303,"Toledo","OH","Toledo","Lucas",59,56700,0.00176678445229682,-0.00351493848857645,0.0106951871657754,-0.011908158248548,-0.0392259387243814,"2006-04","2006-Q2",84800,-0.331367924528302,"1997-11"
2016-05-31,7081,"Silver Spring","MD","Washington","Montgomery",60,376900,0.00106241699867198,0.00964371818912403,0.025020397062823,0.0281204115804912,-0.0157399140183462,"2007-04","2007-Q2",447700,-0.158141612687067,"2005-03"
2016-05-31,25574,"Lexington","KY","Lexington","Fayette",61,156800,0.00900900900900901,0.0214983713355049,0.0488294314381271,0.0193098917931589,0.0105344792768522,"2016-05","2016-Q2",156800,0,"2016-05"
2016-05-31,12970,"Newark","NJ","New York","Essex",62,211900,-0.00376116596144805,0.00712927756653992,0.0750887874175545,0.018966123736847,-0.0320184386154768,"2007-04","2007-Q2",314000,-0.32515923566879,"2004-07"
2016-05-31,47945,"Tallahassee","FL","Tallahassee","Leon",63,157200,-0.000635727908455181,-0.000635727908455181,0.0168175937904269,0.00901753180555498,-0.0192870333158979,"2006-11","2006-Q4",193200,-0.186335403726708,"2004-12"
2016-05-31,7266,"Stockton","CA","Stockton","San Joaquin",64,231100,0.00828970331588133,0.0307760927743087,0.108925143953935,0.121083309104606,-0.047381523931405,"2006-03","2006-Q1",376500,-0.386188579017264,"2003-12"
2016-05-31,53915,"Plano","TX","Dallas-Fort Worth","Collin",65,296100,0.00372881355932203,0.0203308063404549,0.109820089955022,0.0807741278967759,0.0385218445512929,"2016-05","2016-Q2",296100,0,"2016-05"
2016-05-31,17384,"Chandler","AZ","Phoenix","Maricopa",66,265700,0.00302000755001887,0.0102661596958175,0.0581441656710474,0.0835354414578015,-0.0162186184060763,"2006-03","2006-Q1",314700,-0.155703844931681,"2005-06"
2016-05-31,12455,"Louisville","KY","Louisville/Jefferson County","Jefferson",67,111100,0.00725294650951949,0.0202020202020202,0.0662188099808061,0.0281524552784689,0.0142936404635066,"2016-05","2016-Q2",111100,0,"2016-05"
2016-05-31,11867,"Henderson","NV","Las Vegas","Clark",68,255600,0.00156739811912226,0.00748916042569965,0.054020618556701,0.102944903788429,-0.0326431898103373,"2006-04","2006-Q2",356300,-0.282626999719338,"2004-04"
2016-05-31,25934,"Modesto","CA","Modesto","Stanislaus",69,235300,0.00426803243704652,0.0181739506707053,0.0934014869888476,0.128083411167661,-0.0384887320877849,"2006-04","2006-Q2",349800,-0.327329902801601,"2004-04"
2016-05-31,32900,"Mobile","AL","Mobile","Mobile",70,105100,0.00190657769304099,0.0164410058027079,0.0405940594059406,-0.00616408581474326,-0.00887536999443228,"2008-01","2008-Q1",127200,-0.17374213836478,"2005-10"
2016-05-31,25320,"Jersey City","NJ","New York","Hudson",71,338900,0.00385071090047393,0.0177177177177177,0.069760101010101,0.0561462110623625,-0.0034167574075511,"2007-05","2007-Q2",369500,-0.0828146143437077,"2006-02"
2016-05-31,53060,"Lubbock","TX","Lubbock","Lubbock",72,115600,0.00347222222222222,0.0194003527336861,0.061524334251607,0.025751146875522,0.0107278408374245,"2016-05","2016-Q2",115600,0,"2016-05"
2016-05-31,18298,"Glendale","AZ","Phoenix","Maricopa",73,193300,0.00887265135699374,0.0243773184949656,0.112838226827864,0.126829077270306,-0.0258991180770268,"2006-08","2006-Q3",251300,-0.230799840827696,"2005-05"
2016-05-31,24457,"Durham","NC","Durham","Durham",74,174000,0.00346020761245675,0.00519930675909879,0.0603290676416819,0.0239245401193082,0.0108502477620902,"2016-05","2016-Q2",174000,0,"2016-05"
2016-05-31,13121,"Orlando","FL","Orlando","Orange",75,153600,0.00523560209424084,0.0152015862524785,0.111432706222865,0.0990188499083817,-0.0384338244671629,"2006-09","2006-Q3",230600,-0.333911535125759,"2005-01"
2016-05-31,6210,"Norfolk","VA","Virginia Beach","Norfolk City",76,175800,0.00514579759862779,0.0126728110599078,0.0699939135727328,0.0104445988909483,-0.00673985967837742,"2007-05","2007-Q2",196600,-0.105798575788403,"2005-09"
2016-05-31,26922,"Saint Petersburg","FL","Tampa","Pinellas",77,158100,0.00957854406130268,0.029296875,0.120481927710843,0.0922503270008841,-0.017797412747469,"2006-10","2006-Q4",190300,-0.169206516027325,"2005-05"
2016-05-31,53856,"Pensacola","FL","Pensacola","Escambia",78,119600,0.00335570469798658,0.0170068027210884,0.0621669626998224,0.0297366532332684,-0.0173663518311709,"2006-04","2006-Q2",142600,-0.161290322580645,"2005-03"
2016-05-31,18170,"Fort Wayne","IN","Fort Wayne","Allen",79,96400,0.00626304801670146,0.025531914893617,0.0547045951859956,0.0147377211834987,-0.00355999653656625,"2006-11","2006-Q4",100600,-0.0417495029821074,"2004-07"
2016-05-31,11722,"Greensboro","NC","Greensboro","Guilford",80,122700,0.00163265306122449,0.00327064595257563,0.0233527939949958,0.00801304278339687,-0.00137503662845617,"2007-11","2007-Q4",126500,-0.0300395256916996,"2006-01"
2016-05-31,32503,"Lincoln","NE","Lincoln","Lancaster",81,151100,0.00132538104705103,0.0019893899204244,0.040633608815427,0.0306971202898774,0.0142220843420831,"2016-05","2016-Q2",151100,0,"2016-05"
2016-05-31,20328,"San Bernardino","CA","Riverside","San Bernardino",82,229600,0.00569426193604906,0.0208981769675411,0.110788582486696,0.129127317990588,-0.0343003164705153,"2006-08","2006-Q3",331700,-0.307808260476334,"2005-01"
2016-05-31,24225,"Corona","CA","Riverside","Riverside",83,422300,0.00404184498335711,0.0188178528347407,0.0515438247011952,0.0810630150204641,-0.0233592337216818,"2006-08","2006-Q3",536300,-0.212567592765243,"2004-08"
